"Old Ward Code","New ward code","Ward","Borough","Year","Life_Expectancy","Childhood_Obesity","Incapacity_Benefit","Unemployment","Crime","Deliberate_Fires","GCSE_points","Unauthorised_Absence","Dependent_children","Public_Transport_Access","Homes_with_access"
"00AA","E09000001","City of London","City of London",2009,84.3293563943124,22.22,3.33333333333333,2.99919522066544,18.389167401388,0.684931506849315,346.8,0.24,17.14,7.72340106106784,-6.47875231388184
"00ABFX","E05000026","Abbey","Barking and Dagenham",2009,82.0761118043415,21.7008797653959,4.58661027197537,8.32580303198377,180.721563700287,1.90864573319294,311.29,1.22,37.71,5.98735588972431,-0.889538229527879
"00ABFY","E05000027","Alibon","Barking and Dagenham",2009,77.8283924638824,25.974025974026,7.03356091840279,9.85775351442067,125.16861761062,1.09926801405023,302.16,1.53,40,3.27553004396678,-1.79096813560689
"00ABFZ","E05000028","Becontree","Barking and Dagenham",2009,78.4306830970753,22.4489795918367,6.73464268984653,9.40517298207992,149.022536650078,0.967891934945924,320.3,1.55,37.59,2.84854413175568,-5.469666136748
"00ABGA","E05000029","Chadwell Heath","Barking and Dagenham",2009,79.887841096401,23.7951807228916,6.67543203928413,8.56737876990066,135.434080221219,1.85012176736938,324.7,1.22,39.66,2.27230195998367,1.97771829361476
"00ABGB","E05000030","Eastbrook","Barking and Dagenham",2009,77.4885056957764,23.1132075471698,4.84060560291718,7.03617060005822,93.7025416405358,2.43317877191227,305.23,1.11,27.04,2.30872558053815,5.6875523074117
"00ABGC","E05000031","Eastbury","Barking and Dagenham",2009,80.524634555326,22.8381374722838,6.95698280069752,7.9343793311353,125.764150181791,1.25735254776154,303.27,1.27,37.89,2.87008837337752,-8.23751195225376
"00ABGD","E05000032","Gascoigne","Barking and Dagenham",2009,77.7637618393696,22.3255813953488,8.33687209703009,12.1555157821242,118.593522090757,1.54988671812637,297.19,1.2,46.34,4.0324556604606,-10.012551141268
"00ABGE","E05000033","Goresbrook","Barking and Dagenham",2009,78.5409980907664,25.1269035532995,7.21775951518936,8.65929284416212,124.481605596071,2.65783748444611,287.41,1.28,37.44,2.55706433260394,4.82742036791596
"00ABGF","E05000034","Heath","Barking and Dagenham",2009,77.3690863017394,25.679012345679,7.66298085040387,11.5776649043999,96.0660289558359,2.21287409754002,336.65,1.37,42.38,2.56629516889238,0.440582705312449
"00ABGG","E05000035","Longbridge","Barking and Dagenham",2009,80.6204520157429,24.4031830238727,3.54014307220374,4.55420561114919,96.4312262822369,0.371831805148971,357.33,0.61,18.17,3.13702623612513,-2.18986347342871
"00ABGH","E05000036","Mayesbrook","Barking and Dagenham",2009,76.8565839687016,21.9178082191781,7.80395527023586,9.38102915911326,134.802320517606,2.20476108881403,314.96,1.5,39.7,2.61964704702697,2.42564233631892
"00ABGJ","E05000037","Parsloes","Barking and Dagenham",2009,77.8396791502315,24.8520710059172,8.21299516778132,7.99473383384721,112.427019024985,1.04915591018736,329,1.44,36.89,2.72199895013123,-1.71171566115434
"00ABGK","E05000038","River","Barking and Dagenham",2009,75.7895270799843,24.6648793565684,6.13922627457368,8.02683199136721,81.9706096660019,0.564279908973985,298.5,1.24,34.26,3.03680623527279,2.9228098180292
"00ABGL","E05000039","Thames","Barking and Dagenham",2009,79.6736894370286,23.3243967828418,6.48037829249865,10.9291213497655,115.41472808795,4.64991337318623,305.49,1.27,39.45,2.37943390452876,-6.32771590798046
"00ABGM","E05000040","Valence","Barking and Dagenham",2009,75.4084237249388,23.1884057971014,7.95569465965795,9.70212128668547,98.5396605288514,1.05294095045346,319.85,1.34,35.29,3.17877219740712,-2.38220691134561
"00ABGN","E05000041","Village","Barking and Dagenham",2009,77.8721788482249,25.0704225352113,7.15181786913794,10.3781825051671,168.222979661028,2.01776298051427,301.6,1.69,39.66,2.81075610445932,7.87008343160672
"00ABGP","E05000042","Whalebone","Barking and Dagenham",2009,81.1405528052077,25.748502994012,4.28505341546746,5.45455444855114,125.352981013474,1.46792769260479,327.62,1.22,30.13,2.86638993089832,-15.1724701099371
"00ACFX","E05000043","Brunswick Park","Barnet",2009,82.5056679446298,19.0713101160862,4.110069739618,4.18849404016828,65.8436434683797,0.374768945270956,349.6,0.54,19.82,2.81000183542368,0.808435446715716
"00ACFY","E05000044","Burnt Oak","Barnet",2009,79.4884850902059,23.0661040787623,6.51748524667763,7.36456660210553,92.4692059335493,2.10673947841084,307.05,1.34,36.94,3.5934818520242,-7.409572008965
"00ACFZ","E05000045","Childs Hill","Barnet",2009,79.1915310337099,26.9005847953216,3.52552941719339,4.28824906923217,125.550500791924,0.411593551268374,335.07,1.35,21.81,4.48178613521912,-1.01276966601625
"00ACGA","E05000046","Colindale","Barnet",2009,80.526238972866,20.7100591715976,5.75436277063014,6.26193245449576,59.8648425538346,0.610321214417267,327.88,1.29,39.34,2.52193710478772,-6.35437860497979
"00ACGB","E05000047","Coppetts","Barnet",2009,79.4232193200083,15.7079646017699,4.73955209202697,4.97346339999192,108.776813492713,0.600772897964601,337.3,1.02,23.09,2.83613305079304,-2.03528129613344
"00ACGC","E05000048","East Barnet","Barnet",2009,82.932318426782,17.741935483871,4.11970282506803,4.78337438170677,81.1893652800806,0.375869491327719,338.99,0.5,20.62,2.39433037101485,4.26649043391626
"00ACGD","E05000049","East Finchley","Barnet",2009,82.1766864294293,12.8415300546448,4.6938059730959,4.45592499335248,79.9109687354567,0.446790913067719,353.92,0.98,24.92,2.57754575098157,-3.44997667949171
"00ACGE","E05000050","Edgware","Barnet",2009,82.5981371657764,21.6101694915254,4.30419944136151,4.42335223842443,93.0837295105874,1.16495148331478,342.34,0.9,23.45,2.87086908284024,-3.77282966914326
"00ACGF","E05000051","Finchley Church End","Barnet",2009,85.4221133161166,16.6077738515901,2.39749046102288,3.53596506002771,63.0906682829371,0.2615193951456,373.98,0.84,11.8,2.89989307671746,-13.3379873836556
"00ACGG","E05000052","Garden Suburb","Barnet",2009,84.9459133749456,6.56565656565657,1.34860057447528,2.30745951162437,76.5796005076035,0.127704627676244,371.34,0.73,6.83,2.65534650873634,1.41251713294273
"00ACGH","E05000053","Golders Green","Barnet",2009,81.7632596584232,16.7701863354037,3.84502085972054,4.13644620512914,75.9364918753691,0.821536641815516,341.2,0.92,16.25,3.41317787986277,-8.93145797294371
"00ACGJ","E05000054","Hale","Barnet",2009,82.4113255532205,21.2727272727273,4.36357478899001,4.89664173314613,73.2798201840012,0.703925287076668,341.98,0.95,21.95,2.51021346270467,-5.14411684704006
"00ACGK","E05000055","Hendon","Barnet",2009,82.4965622080588,18.7817258883249,4.09114880162655,4.76981309339333,84.2688775279374,0.393481625143109,372.9,0.89,17.15,2.59991803780048,-7.33239217795722
"00ACGL","E05000056","High Barnet","Barnet",2009,80.4978259813963,17.2413793103448,3.72803357532151,3.29150091948017,79.5765999857621,0.867446360497698,364.72,0.47,12.32,2.78543841198896,3.75786128884371
"00ACGM","E05000057","Mill Hill","Barnet",2009,83.9620072732071,19.047619047619,3.4475497800704,3.89432091409529,73.0267095752272,0.450124163402574,336.31,0.91,21.95,2.22079489244219,3.68340457574713
"00ACGN","E05000058","Oakleigh","Barnet",2009,81.7803771129551,15.979381443299,3.67012750612608,3.6296489398308,65.1690953101207,0.256797796337278,358.58,0.7,19.91,3.18942262546793,-7.78586463679794
"00ACGP","E05000059","Totteridge","Barnet",2009,82.5984651884187,12.9943502824859,2.51355427208315,2.87472768349977,56.4451872377717,0.266606225527196,362.98,0.52,12.95,2.68645904039396,8.00111787517969
"00ACGQ","E05000060","Underhill","Barnet",2009,81.5283084246819,16.3179916317992,5.9038419082772,5.42007660204812,77.493906542138,1.44874239048646,334.77,0.93,26.87,2.63582668534194,4.52360879462359
"00ACGR","E05000061","West Finchley","Barnet",2009,81.0450731562568,12.3417721518987,3.37477391298341,4.06838939554669,70.9279304482558,0.68606659924437,369.49,0.72,16,3.77812329587019,-16.0637844665705
"00ACGS","E05000062","West Hendon","Barnet",2009,81.4769181972165,19.7149643705463,4.63535409600131,5.74451330686749,133.258940420788,0.536217925744629,345.4,1.07,18.9,3.5444886872044,-0.17745892682612
"00ACGT","E05000063","Woodhouse","Barnet",2009,80.5189232578922,17.1739130434783,4.68921604421793,4.50922209258815,97.8709059324129,0.291902792679444,352.64,0.79,22.81,2.83049479782454,-11.5186813655632
"00ADGA","E05000064","Barnehurst","Bexley",2009,83.0321343598804,20.3030303030303,3.49498285642725,3.79929948893046,69.175506368514,0.675777670999073,334.03,1.22,18.52,2.97089891975309,-1.74210404954275
"00ADGB","E05000065","Belvedere","Bexley",2009,81.636640101445,19.4244604316547,5.26491823223527,5.86877003989113,108.488885294137,2.23413628062604,305.28,1.58,27.73,2.36119651276577,4.51867177763958
"00ADGC","E05000066","Blackfen and Lamorbey","Bexley",2009,84.8094192981265,19.0332326283988,3.06309577960144,3.79679095058866,60.1687072066395,0.0948278037255742,340.77,0.65,11.76,2.08298248935163,-5.00590794042038
"00ADGD","E05000067","Blendon and Penhill","Bexley",2009,84.0053847640197,19.0635451505017,2.64192170355689,2.88008917015815,66.2841457403568,0.835170109478497,335.82,0.67,9.65,2.04542846321371,1.07618718248757
"00ADGE","E05000068","Brampton","Bexley",2009,82.634375467637,19.5718654434251,3.21735871345973,3.35841051619043,62.0489096333648,0.095379683375044,343.04,0.7,11.83,2.54204013056836,-8.51736567085831
"00ADGF","E05000069","Christchurch","Bexley",2009,80.1671581862258,21.671826625387,3.53480861656125,4.27650329931828,105.599575475373,0.73955732489022,344.6,0.95,15.8,3.41201245988295,-2.88485930430671
"00ADGG","E05000070","Colyers","Bexley",2009,80.8931076867361,21.4659685863874,5.83693225136363,6.3810362208109,104.039256391554,0.819246892485746,297.26,1.33,28.78,1.92789139171885,-11.9560701441515
"00ADGH","E05000071","Crayford","Bexley",2009,81.2404066966367,22,4.97305629611057,6.59300121618729,63.0771520392374,1.54505588191383,306.66,1.49,23.44,2.03250117624918,-2.91192218836893
"00ADGJ","E05000072","Cray Meadows","Bexley",2009,80.7908553596465,24.4252873563218,5.63490531151044,4.5338307589095,54.1917693938704,1.27386563563895,323.68,1.28,25.91,1.77931878854828,10.5944071816639
"00ADGK","E05000073","Danson Park","Bexley",2009,82.4884055806359,18.5294117647059,3.26332273813173,4.55737016069954,72.4211013232303,0.466513089082562,339.95,0.78,14.73,2.90382837063066,5.90096809521635
"00ADGL","E05000074","East Wickham","Bexley",2009,81.0451792009111,22.8985507246377,4.10877060002406,4.8543642919105,83.1543728382862,0.466099638857225,330.55,1.42,21,2.79535905271199,-2.35330099895257
"00ADGM","E05000075","Erith","Bexley",2009,79.6034616233142,25.0666666666667,5.83720294927661,6.2422361248716,103.353856337131,2.42476825108254,323.29,1.5,29.17,2.44619457436857,6.92845440199577
"00ADGN","E05000076","Falconwood and Welling","Bexley",2009,81.2268100535155,17.4647887323944,2.50960345649989,3.69277560361287,78.9285940363009,0.093327949631721,344.5,0.88,11.16,2.58429617273654,-9.43938989235039
"00ADGP","E05000077","Lesnes Abbey","Bexley",2009,81.5170262734405,23.7430167597765,4.53634354662355,5.39949154751179,94.2945399453486,2.40330997119421,307.46,1.25,24.72,2.76100944404847,4.83708076930853
